target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_25859.1	864	706.387	474.58	31.0608
DAnjou_Chr10v0.1_25858.1	336	182.087	7021	1782.64
DAnjou_Chr10v0.1_25857.1	2940	2782.39	1013.93	16.8475
DAnjou_Chr10v0.1_25856.1	360	205.122	21	4.73317
DAnjou_Chr10v0.1_25855.1	930	772.387	112.407	6.72827
DAnjou_Chr10v0.1_25854.1	2010	1852.39	101	2.52078
DAnjou_Chr10v0.1_25853.1	792	634.387	0	0
DAnjou_Chr10v0.1_25852.1	560	402.507	0	0
DAnjou_Chr10v0.1_25851.1	1137	979.387	180.672	8.52869
DAnjou_Chr10v0.1_25850.1	519	361.632	577.74	73.8604
