target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_25974.1	1002	843.107	582	24.7798
DAnjou_Chr10v0.1_25973.1	1119	960.107	325	12.1512
DAnjou_Chr10v0.1_25972.1	2013	1854.11	182.405	3.53149
DAnjou_Chr10v0.1_25971.1	3087	2928.11	462	5.66385
DAnjou_Chr10v0.1_25970.1	2043	1884.11	726	13.8321
DAnjou_Chr10v0.1_25969.1	1083	924.107	67	2.60261
DAnjou_Chr8v0.1_19750.1	1236	1077.11	361	12.0311
DAnjou_Chr10v0.1_25967.1	513	354.598	6	0.607396
DAnjou_Chr10v0.1_25966.1	951	792.107	567.264	25.7074
DAnjou_Chr8v0.1_19753.1	1560	1401.11	1136	29.1048
DAnjou_Chr10v0.1_25964.1	651	492.107	0	0
DAnjou_Chr8v0.1_19755.1	774	615.107	485	28.304
DAnjou_Chr10v0.1_25963.1	330	176.493	61	12.4068
DAnjou_Chr10v0.1_25962.1	2880	2721.11	1016.6	13.411
DAnjou_Chr8v0.1_19758.1	819	660.107	73	3.96977
DAnjou_Chr8v0.1_19759.1	477	318.791	6	0.675619
DAnjou_Chr8v0.1_19760.1	621	462.176	51.8	4.02328
DAnjou_Chr8v0.1_19761.1	1572	1413.11	0	0
DAnjou_Chr8v0.1_19762.1	384	227.866	133	20.9522
DAnjou_Chr8v0.1_19763.1	1017	858.107	376.858	15.765
DAnjou_Chr8v0.1_19764.1	2331	2172.11	353	5.83379
DAnjou_Chr8v0.1_19765.1	1920	1761.11	793	16.1638
DAnjou_Chr10v0.1_25954.1	660	501.107	710.929	50.9275
DAnjou_Chr8v0.1_19767.1	1344	1185.11	25.1836	0.762812
DAnjou_Chr8v0.1_19768.1	2766	2607.11	796.643	10.9689
DAnjou_Chr8v0.1_19769.1	912	753.107	0	0
DAnjou_Chr8v0.1_19770.1	630	471.176	1054	80.2998
DAnjou_Chr8v0.1_19771.1	2763	2604.11	488.51	6.73398
DAnjou_Chr8v0.1_19772.1	1017	858.107	11	0.460159
DAnjou_Chr10v0.1_25948.1	1674	1515.11	5.01424	0.118801
DAnjou_Chr10v0.1_25947.1	885	726.107	841.118	41.5828
DAnjou_Chr8v0.1_19774.1	2631	2472.11	465	6.75216
DAnjou_Chr10v0.1_25945.1	1362	1203.11	62.0611	1.85171
DAnjou_Chr8v0.1_19776.1	1653	1494.11	328	7.88042
DAnjou_Chr10v0.1_25943.1	324	170.87	21	4.41175
DAnjou_Chr10v0.1_25942.1	1326	1167.11	209.328	6.43832
DAnjou_Chr10v0.1_25941.1	927	768.107	1388.81	64.9051
DAnjou_Chr10v0.1_25940.1	1230	1071.11	638	21.3818
DAnjou_Chr10v0.1_25939.1	4098	3939.11	444	4.04615
DAnjou_Chr10v0.1_25938.1	957	798.107	269	12.099
DAnjou_Chr10v0.1_25937.1	477	318.791	206.144	23.2124
DAnjou_Chr10v0.1_25936.1	771	612.107	520	30.4953
DAnjou_Chr10v0.1_25935.1	4170	4011.11	654.202	5.8547
DAnjou_Chr10v0.1_25934.1	480	321.791	92	10.2629
DAnjou_Chr10v0.1_25933.1	1533	1374.11	24	0.626971
DAnjou_Chr10v0.1_25932.1	1278	1119.11	73	2.34158
DAnjou_Chr10v0.1_25931.1	486	327.712	0	0
DAnjou_Chr10v0.1_25916.1	4917	4758.11	960.753	7.24827
DAnjou_Chr10v0.1_25915.1	1893	1734.11	18421.9	381.343
DAnjou_Chr10v0.1_25928.1	338	184.127	49.3866	9.62827
DAnjou_Chr10v0.1_25927.1	1815	1656.11	52121.3	1129.75
DAnjou_Chr10v0.1_25912.1	531	372.368	0	0
DAnjou_Chr10v0.1_25925.1	389	232.731	0	0
DAnjou_Chr10v0.1_25924.1	1833	1674.11	0	0
DAnjou_Chr10v0.1_25919.1	693	534.107	835	56.1197
DAnjou_Chr10v0.1_25918.1	444	286.315	0	0
DAnjou_Chr10v0.1_25917.1	1866	1707.11	1163.66	24.4694
DAnjou_Chr10v0.1_25921.1	1620	1461.11	379.37	9.32048
DAnjou_Chr10v0.1_25907.1	2745	2586.11	92.0365	1.27753
DAnjou_Chr10v0.1_25904.1	435	277.52	0	0
DAnjou_Chr10v0.1_25903.1	515	356.598	0	0
DAnjou_Chr10v0.1_25902.1	2204	2045.11	367.963	6.45871
DAnjou_Chr10v0.1_25906.1	338	184.127	0	0
DAnjou_Chr10v0.1_25901.1	936	777.107	57.6743	2.66415
DAnjou_Chr10v0.1_25900.1	2730	2571.11	828.251	11.5638
DAnjou_Chr10v0.1_25899.1	3930	3771.11	3999.2	38.0681
DAnjou_Chr10v0.1_25898.1	1131	972.107	106	3.91425
DAnjou_Chr5v0.1_13180.1	5241	5082.11	2085.44	14.7303
DAnjou_Chr10v0.1_25896.1	618	459.176	60	4.69061
DAnjou_Chr10v0.1_25895.1	1264	1105.11	360.078	11.6963
DAnjou_Chr10v0.1_25894.1	3024	2865.11	736.125	9.22291
DAnjou_Chr10v0.1_25893.1	3341	3182.11	1864.08	21.0284
DAnjou_Chr10v0.1_25892.1	1185	1026.11	68	2.37888
DAnjou_Chr10v0.1_25891.1	447	289.217	9	1.11706
DAnjou_Chr10v0.1_25890.1	2166	2007.11	132	2.36081
DAnjou_Chr10v0.1_25897.1	562	403.237	81	7.21076
