target_id	gene_id
DAnjou_Chr10v0.1_25976.1	DAnjou_Chr10v0.1_25976
DAnjou_Chr10v0.1_25975.1	DAnjou_Chr10v0.1_25975
DAnjou_Chr10v0.1_25974.1	DAnjou_Chr10v0.1_25974
DAnjou_Chr10v0.1_25973.1	DAnjou_Chr10v0.1_25973
DAnjou_Chr10v0.1_25972.1	DAnjou_Chr10v0.1_25972
DAnjou_Chr10v0.1_25971.1	DAnjou_Chr10v0.1_25971
DAnjou_Chr10v0.1_25970.1	DAnjou_Chr10v0.1_25970
DAnjou_Chr10v0.1_25969.1	DAnjou_Chr10v0.1_25969
DAnjou_Chr8v0.1_19750.1	DAnjou_Chr8v0.1_19750
DAnjou_Chr10v0.1_25967.1	DAnjou_Chr10v0.1_25967
DAnjou_Chr10v0.1_25966.1	DAnjou_Chr10v0.1_25966
DAnjou_Chr8v0.1_19753.1	DAnjou_Chr8v0.1_19753
DAnjou_Chr10v0.1_25964.1	DAnjou_Chr10v0.1_25964
DAnjou_Chr8v0.1_19755.1	DAnjou_Chr8v0.1_19755
DAnjou_Chr10v0.1_25963.1	DAnjou_Chr10v0.1_25963
DAnjou_Chr10v0.1_25962.1	DAnjou_Chr10v0.1_25962
DAnjou_Chr8v0.1_19758.1	DAnjou_Chr8v0.1_19758
DAnjou_Chr8v0.1_19759.1	DAnjou_Chr8v0.1_19759
DAnjou_Chr8v0.1_19760.1	DAnjou_Chr8v0.1_19760
DAnjou_Chr8v0.1_19761.1	DAnjou_Chr8v0.1_19761
DAnjou_Chr8v0.1_19762.1	DAnjou_Chr8v0.1_19762
DAnjou_Chr8v0.1_19763.1	DAnjou_Chr8v0.1_19763
DAnjou_Chr8v0.1_19764.1	DAnjou_Chr8v0.1_19764
DAnjou_Chr8v0.1_19765.1	DAnjou_Chr8v0.1_19765
DAnjou_Chr10v0.1_25954.1	DAnjou_Chr10v0.1_25954
DAnjou_Chr8v0.1_19767.1	DAnjou_Chr8v0.1_19767
DAnjou_Chr8v0.1_19768.1	DAnjou_Chr8v0.1_19768
DAnjou_Chr8v0.1_19769.1	DAnjou_Chr8v0.1_19769
DAnjou_Chr8v0.1_19770.1	DAnjou_Chr8v0.1_19770
DAnjou_Chr8v0.1_19771.1	DAnjou_Chr8v0.1_19771
DAnjou_Chr8v0.1_19772.1	DAnjou_Chr8v0.1_19772
DAnjou_Chr10v0.1_25948.1	DAnjou_Chr10v0.1_25948
DAnjou_Chr10v0.1_25947.1	DAnjou_Chr10v0.1_25947
DAnjou_Chr8v0.1_19774.1	DAnjou_Chr8v0.1_19774
DAnjou_Chr10v0.1_25945.1	DAnjou_Chr10v0.1_25945
DAnjou_Chr8v0.1_19776.1	DAnjou_Chr8v0.1_19776
DAnjou_Chr10v0.1_25943.1	DAnjou_Chr10v0.1_25943
DAnjou_Chr10v0.1_25942.1	DAnjou_Chr10v0.1_25942
DAnjou_Chr10v0.1_25941.1	DAnjou_Chr10v0.1_25941
DAnjou_Chr10v0.1_25940.1	DAnjou_Chr10v0.1_25940
DAnjou_Chr10v0.1_25939.1	DAnjou_Chr10v0.1_25939
DAnjou_Chr10v0.1_25938.1	DAnjou_Chr10v0.1_25938
DAnjou_Chr10v0.1_25937.1	DAnjou_Chr10v0.1_25937
DAnjou_Chr10v0.1_25936.1	DAnjou_Chr10v0.1_25936
DAnjou_Chr10v0.1_25935.1	DAnjou_Chr10v0.1_25935
DAnjou_Chr10v0.1_25934.1	DAnjou_Chr10v0.1_25934
DAnjou_Chr10v0.1_25933.1	DAnjou_Chr10v0.1_25933
DAnjou_Chr10v0.1_25932.1	DAnjou_Chr10v0.1_25932
DAnjou_Chr10v0.1_25931.1	DAnjou_Chr10v0.1_25931
DAnjou_Chr10v0.1_25916.1	DAnjou_Chr10v0.1_25916
DAnjou_Chr10v0.1_25915.1	DAnjou_Chr10v0.1_25915
DAnjou_Chr10v0.1_25928.1	DAnjou_Chr10v0.1_25928
DAnjou_Chr10v0.1_25927.1	DAnjou_Chr10v0.1_25927
DAnjou_Chr10v0.1_25912.1	DAnjou_Chr10v0.1_25912
DAnjou_Chr10v0.1_25925.1	DAnjou_Chr10v0.1_25925
DAnjou_Chr10v0.1_25924.1	DAnjou_Chr10v0.1_25924
DAnjou_Chr10v0.1_25919.1	DAnjou_Chr10v0.1_25919
DAnjou_Chr10v0.1_25918.1	DAnjou_Chr10v0.1_25918
DAnjou_Chr10v0.1_25917.1	DAnjou_Chr10v0.1_25917
DAnjou_Chr10v0.1_25921.1	DAnjou_Chr10v0.1_25921
DAnjou_Chr10v0.1_25907.1	DAnjou_Chr10v0.1_25907
DAnjou_Chr10v0.1_25904.1	DAnjou_Chr10v0.1_25904
DAnjou_Chr10v0.1_25903.1	DAnjou_Chr10v0.1_25903
DAnjou_Chr10v0.1_25902.1	DAnjou_Chr10v0.1_25902
DAnjou_Chr10v0.1_25906.1	DAnjou_Chr10v0.1_25906
DAnjou_Chr10v0.1_25901.1	DAnjou_Chr10v0.1_25901
DAnjou_Chr10v0.1_25900.1	DAnjou_Chr10v0.1_25900
DAnjou_Chr10v0.1_25899.1	DAnjou_Chr10v0.1_25899
DAnjou_Chr10v0.1_25898.1	DAnjou_Chr10v0.1_25898
DAnjou_Chr5v0.1_13180.1	DAnjou_Chr5v0.1_13180
DAnjou_Chr10v0.1_25896.1	DAnjou_Chr10v0.1_25896
DAnjou_Chr10v0.1_25895.1	DAnjou_Chr10v0.1_25895
DAnjou_Chr10v0.1_25894.1	DAnjou_Chr10v0.1_25894
DAnjou_Chr10v0.1_25893.1	DAnjou_Chr10v0.1_25893
DAnjou_Chr10v0.1_25892.1	DAnjou_Chr10v0.1_25892
DAnjou_Chr10v0.1_25891.1	DAnjou_Chr10v0.1_25891
DAnjou_Chr10v0.1_25890.1	DAnjou_Chr10v0.1_25890
DAnjou_Chr10v0.1_25897.1	DAnjou_Chr10v0.1_25897
DAnjou_Chr10v0.1_25888.1	DAnjou_Chr10v0.1_25888
DAnjou_Chr10v0.1_25887.1	DAnjou_Chr10v0.1_25887
DAnjou_Chr10v0.1_25886.1	DAnjou_Chr10v0.1_25886
